課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Generative AI for Mobile App Developers,4.7 out of 5 stars,7.5K reviews,Advanced · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-mobile-app-developers,,"Artificial Intelligence, AI Personalization, Machine Learning Methods, Apple iOS, ChatGPT, Software Testing, CI/CD, Generative AI, IBM Cloud, Test Automation, Prompt Engineering, Application Development",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI:Â Elevate your Software Development Career | Generative AI:  Turbocharge Mobile App Development,"Skill-Up EdTech Team, Rav Ahuja, Antonio Cangiano, Ramanujam Srinivasan, SkillUp EdTech",Starts Jul 18,1 month,at 10 hours. a week
An Introduction to Ethical Hacking with Kali Linux,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/packt-an-introduction-to-ethical-hacking-with-kali-linux-rxfou,4 modules,"Cybersecurity, Unix, Vulnerability Assessments, Web Servers, Command-Line Interface, Network Security, Virtual Machines, Application Security, Network Analysis, Information Systems Security, Web Applications, Vulnerability Scanning, Open Web Application Security Project (OWASP)",Introduction | Information Gathering | Vulnerability Analysis | Web Application Analysis and Exploitation,Packt - Course Instructors,Starts Jul 18,Flexible schedule,Learn at your own pace
Intermediate Ethical Hacking Hands-on Training,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-intermediate-ethical-hacking-hands-on-training-q23de,12 modules,"Active Directory, Windows PowerShell, Wireless Networks, Open Web Application Security Project (OWASP), Scripting, Cyber Security Assessment, TCP/IP, Vulnerability Assessments, Microsoft Windows, Network Analysis, Network Security, Virtual Environment, Penetration Testing, Network Protocols","Course Overview | Virtual Lab Build | NMap | Reverse Shells, Privilege Escalation, and Persistent Backdoors | PowerShell Empire | Post Exploitation of Microsoft Windows | Practical Pentesting Labs | Auditing Wireless Networks | Wireshark | Web App Penetration Testing | Remaining Anonymous While Pentesting | SQL Injection to Shell Walkthrough",Packt - Course Instructors,Starts Jul 18,Flexible schedule,Learn at your own pace
Security & Ethical Hacking: Attacking Unix and Windows,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/security-ethical-hacking-attacking-unix-and-windows,5 modules,"Cyber Security Assessment, Secure Coding, Unix, Computer Architecture, Application Security, Linux, Unix Commands, OS Process Management, Debugging, Vulnerability Assessments, Penetration Testing, Microsoft Windows, System Programming, Security Testing",Introduction and UNIX Security Basics | Abusing the Unix Security Model - Privilege Escalation | Evasive Privilege Escalation on Linux | Lateral Movement Techniques on Unix | Memory Corruption and User-Mode Exploitation on MSFT Windows,"Ahmed M. Hamza, University of Colorado Boulder",Starts Jul 18,Flexible schedule,Learn at your own pace
Bookkeeping Basics,4.6 out of 5 stars,6.1K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/bookkeeping-basics,4 modules,"Bookkeeping, Balance Sheet, Accounting, Accounting Records, Cash Flows, Accounting Software, Income Statement, Financial Statements, Ledgers (Accounting), Ethical Standards And Conduct, QuickBooks (Accounting Software), General Ledger",Accounting Concepts and Measurement | The Accounting Cycle (Part 1) | The Accounting Cycle (Part 2) | Accounting Principles and Practices,Intuit Academy Team,Starts Jul 18,Flexible schedule,Approx. 16 hours.Learn at your own pace
Social Psychology,4.7 out of 5 stars,5.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/social-psychology,7 modules,"Conflict Management, Experimentation, Cultural Diversity, Behavior Management, Psychology, Interpersonal Communications, Ethical Standards And Conduct, Research, Persuasive Communication, Social Sciences","WEEK 1: Social Perceptions and Misperceptions | WEEK 2: The Psychology of Self-Presentation and Persuasion | WEEK 3: Obedience, Conformity, and Deindividuation | WEEK 4: Group Behavior: The Good, Bad, and Ugly | WEEK 5: Mid-Course Break | WEEK 6: Helping, Hurting, and Peacemaking | WEEK 7: A Happy End to the Course","Scott Plous, Wesleyan University",Starts Jul 18,Flexible schedule,Approx. 37 hours.Learn at your own pace
Introduction to International Criminal Law,4.8 out of 5 stars,3.9K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/international-criminal-law,8 modules,"Legal Strategy, Criminal Investigation and Forensics, Ethical Standards And Conduct, Legal Hearings, Trial Preparation, Diplomacy, Case Law, International Relations, Legal Proceedings, Public Safety and National Security, Interactive Learning",Introduction | Peace Versus Justice | Terrorism and Piracy | Unique Modes of Liability | Specialized Defenses | Gaining Custody of the Accused | Pre-Trial Issues | Maintaining Control of the Courtroom,"Michael Scharf, Case Western Reserve University",Starts Jul 18,Flexible schedule,Learn at your own pace
Social Psychology,4.7 out of 5 stars,5.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/social-psychology,7 modules,"Conflict Management, Experimentation, Cultural Diversity, Behavior Management, Psychology, Interpersonal Communications, Ethical Standards And Conduct, Research, Persuasive Communication, Social Sciences","WEEK 1: Social Perceptions and Misperceptions | WEEK 2: The Psychology of Self-Presentation and Persuasion | WEEK 3: Obedience, Conformity, and Deindividuation | WEEK 4: Group Behavior: The Good, Bad, and Ugly | WEEK 5: Mid-Course Break | WEEK 6: Helping, Hurting, and Peacemaking | WEEK 7: A Happy End to the Course","Scott Plous, Wesleyan University",Starts Jul 18,Flexible schedule,Approx. 37 hours.Learn at your own pace
Responsible AI: Transparency & Ethics,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/responsible-ai-transparency--ethics,1 module,"Prompt Engineering, Diversity and Inclusion, Machine Learning, Business Ethics, Artificial Intelligence, Compliance Management, Regulatory Compliance, Auditing, Mitigation, Feature Engineering, Data Ethics, Ethical Standards And Conduct, Exploratory Data Analysis, OpenAI, Risk Mitigation, Governance, Predictive Modeling",Responsible AI: Transparency & Ethics,"Brian Newman, Coursera Instructor Network",Starts Jul 18,,
Intermediate Ethical Hacking Techniques,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/packt-intermediate-ethical-haking-techniques-1yazc,4 modules,"Penetration Testing, Wireless Networks, Microsoft Windows, Intrusion Detection and Prevention, Cybersecurity, Open Web Application Security Project (OWASP), SQL, Network Security, Web Applications, Command-Line Interface, Vulnerability Scanning, Vulnerability Assessments, Virtual Machines, Application Security, Firewall",Active Information Gathering and Port Scanning | Web Application Penetration Testing | Wireless Penetration Testing | System Hacking and Exploitation,Packt - Course Instructors,Starts Jul 18,Flexible schedule,Learn at your own pace
Artificial Intelligence: Ethics & Societal Challenges,4.7 out of 5 stars,287 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-ethics,4 modules,"Data Ethics, Artificial Intelligence, Information Privacy, Governance, Political Sciences, Law, Regulation, and Compliance, Social Justice, Emerging Technologies, Algorithms, Ethical Standards And Conduct",Algorithmic Bias and Surveillance | Democracy | Artificial Consciousness | Responsibility and Control,"Maria Hedlund, Lena LindstrÃ¶m, Erik Persson, Lund University",Starts Jul 18,,
Cybersecurity Awareness and Innovation,4.6 out of 5 stars,752 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity,6 modules,"Security Awareness, Computer Security Awareness Training, Threat Detection, Identity and Access Management, Data Security, Cyber Attacks, Threat Management, Cybersecurity, User Accounts, Entrepreneurship, Email Security",Identity and Authentication | Identity and social attacks | Protection basics for information and IT devices | The modern world: mobility and clouds | Cybersecurity Today and Challenges | Innovation & Entrepreneurship,"IvÃ¡n MartÃ­nez, IvÃ¡n Pau, RomÃ¡n RamÃ­rez, EIT Digital",Starts Jul 18,Flexible schedule,Approx. 6 hours.Learn at your own pace
English for Journalism,4.8 out of 5 stars,2.8K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/journalism,5 modules,"English Language, Interviewing Skills, Media and Communications, Digital Publishing, Ethical Standards And Conduct, Vocabulary, Electronic Media, Journalism, Editing, Storytelling, Grammar, Proofreading, Oral Expression, Research","Unit 1: Introduction and Principles of Journalism | Unit 2: How to Research, Pitch, and Interview | Unit 3: Words in Print | Unit 4: Broadcasting the News | Unit 5: Journalism in the Digital Age","John Cotton, Eve Litt, University of Pennsylvania",Starts Jul 18,Flexible schedule,Learn at your own pace
Ethical Hacking Essentials: Hands-On Edition,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/ethical-hacking-essentials-hands-on-edition,12 modules,"Network Security, MITRE ATT&CK Framework, Application Security, Web Applications, Infrastructure Security, Mobile Security, Encryption, Authentications, Threat Detection, Vulnerability Assessments, Cybersecurity, Penetration Testing, Cyber Attacks, Wireless Networks, Cloud Security, Internet Of Things",Information Security Fundamentals | Ethical Hacking Fundamentals | Information Security Threats and Vulnerability Assessment | Password Cracking Techniques and Countermeasures | Social Engineering Techniques and Countermeasures | Network Level Attacks and Countermeasures | Web Application Attacks and Countermeasures | Wireless Attacks and Countermeasures | Mobile Attacks and Countermeasures | IoT and OT Attacks and Countermeasures | Cloud Computing Threats and Countermeasures | Penetration Testing Fundamentals,,Starts Jul 18,Flexible schedule,Learn at your own pace
